,usdrub,gold,cb_key_rate,fed_rate,imoex_open,imoex_close,ru_cpi,us_cpi,workday,first_workday,second_workday,imoex_vol,ru_monetary,us_monetary
09.10.2008,26.1629,767.98,11.0,1.4,637.93,700.37,100.91,100.86730108988688,workday,0,0,62.440000000000055,0.08000000000004093,-9.007613078642555
10.10.2008,26.0695,743.23,11.0,1.4,0.0,700.37,100.91,100.86730108988688,workday,0,0,700.37,0.08000000000004093,-9.007613078642555
13.10.2008,26.0695,743.23,11.0,1.4,700.37,666.37,100.91,100.86730108988688,workday,1,0,-34.0,0.08000000000004093,-9.007613078642555
14.10.2008,26.1111,726.16,11.0,1.4,666.81,755.22,100.91,100.86730108988688,workday,0,1,88.41000000000008,0.08000000000004093,-9.007613078642555
15.10.2008,26.0871,712.49,11.0,1.4,755.22,689.71,100.91,100.86730108988688,workday,0,0,-65.50999999999999,0.08000000000004093,-9.007613078642555
16.10.2008,26.1347,712.95,11.0,1.4,689.7,626.85,100.91,100.86730108988688,workday,0,0,-62.85000000000002,0.08000000000004093,-9.007613078642555
17.10.2008,26.3691,707.48,11.0,1.4,626.85,599.64,100.91,100.86730108988688,workday,0,0,-27.210000000000036,0.08000000000004093,-9.007613078642555
20.10.2008,26.3691,707.48,11.0,1.4,599.77,626.42,100.91,100.86730108988688,workday,1,0,26.649999999999977,0.08000000000004093,-9.007613078642555
21.10.2008,26.0561,672.69,11.0,1.4,626.62,652.51,100.91,100.86730108988688,workday,0,1,25.889999999999986,0.08000000000004093,-9.007613078642555
22.10.2008,26.4417,663.94,11.0,1.4,652.5,628.12,100.91,100.86730108988688,workday,0,0,-24.379999999999995,0.08000000000004093,-9.007613078642555
23.10.2008,26.9215,655.65,11.0,1.4,628.12,598.87,100.91,100.86730108988688,workday,0,0,-29.25,0.08000000000004093,-9.007613078642555
24.10.2008,26.9793,629.74,11.0,1.4,598.87,513.62,100.91,100.86730108988688,workday,0,0,-85.25,0.08000000000004093,-9.007613078642555
27.10.2008,26.9793,629.74,11.0,1.4,0.0,513.62,100.91,100.86730108988688,workday,1,0,513.62,0.08000000000004093,-9.007613078642555
28.10.2008,27.3507,633.57,11.0,1.4,513.63,534.87,100.91,100.86730108988688,workday,0,1,21.24000000000001,0.08000000000004093,-9.007613078642555
29.10.2008,27.3018,653.94,11.0,0.9,534.87,608.88,100.91,100.86730108988688,workday,0,0,74.00999999999999,0.08000000000004093,-9.507613078642555
30.10.2008,27.0979,652.76,11.0,0.9,608.9,727.39,100.91,100.86730108988688,workday,0,0,118.49000000000001,0.08000000000004093,-9.507613078642555
31.10.2008,26.543,659.02,11.0,0.9,727.38,731.96,100.91,100.86730108988688,workday,0,0,4.580000000000041,0.08000000000004093,-9.507613078642555
01.11.2008,27.0981,634.69,11.0,0.9,731.97,766.92,100.83,101.8024611429349,workday,0,0,34.94999999999993,1.0400000000000205,-20.729533715218828
05.11.2008,27.0981,634.69,11.0,0.9,769.34,775.19,100.83,101.8024611429349,workday,1,0,5.850000000000023,1.0400000000000205,-20.729533715218828
06.11.2008,26.9146,651.81,11.0,1.0,775.18,700.59,100.83,101.8024611429349,workday,0,1,-74.58999999999992,1.0400000000000205,-20.629533715218827
07.11.2008,26.9114,639.4,11.0,1.0,700.24,725.93,100.83,101.8024611429349,workday,0,0,25.68999999999994,1.0400000000000205,-20.629533715218827
10.11.2008,26.9114,639.4,11.0,1.0,725.93,741.51,100.83,101.8024611429349,workday,1,0,15.580000000000041,1.0400000000000205,-20.629533715218827
11.11.2008,26.9639,651.7,11.0,1.0,740.93,647.8,100.83,101.8024611429349,workday,0,1,-93.13,1.0400000000000205,-20.629533715218827
12.11.2008,27.3399,652.0,12.0,1.0,0.0,647.8,100.83,101.8024611429349,workday,0,0,647.8,2.0400000000000205,-20.629533715218827
13.11.2008,27.4704,646.06,12.0,1.0,647.29,598.43,100.83,101.8024611429349,workday,0,0,-48.860000000000014,2.0400000000000205,-20.629533715218827
14.11.2008,27.6704,635.19,12.0,1.0,598.44,592.07,100.83,101.8024611429349,workday,0,0,-6.3700000000000045,2.0400000000000205,-20.629533715218827
17.11.2008,27.6704,635.19,12.0,1.0,592.07,560.86,100.83,101.8024611429349,workday,1,0,-31.210000000000036,2.0400000000000205,-20.629533715218827
18.11.2008,27.4374,657.19,12.0,1.0,560.79,579.17,100.83,101.8024611429349,workday,0,1,18.379999999999995,2.0400000000000205,-20.629533715218827
19.11.2008,27.4301,649.52,12.0,1.0,579.18,558.12,100.83,101.8024611429349,workday,0,0,-21.059999999999945,2.0400000000000205,-20.629533715218827
20.11.2008,27.4413,650.89,12.0,1.0,558.12,533.7,100.83,101.8024611429349,workday,0,0,-24.41999999999996,2.0400000000000205,-20.629533715218827
21.11.2008,27.5715,660.62,12.0,1.0,533.7,516.93,100.83,101.8024611429349,workday,0,0,-16.770000000000095,2.0400000000000205,-20.629533715218827
24.11.2008,27.5715,660.62,12.0,1.0,516.94,604.87,100.83,101.8024611429349,workday,1,0,87.92999999999995,2.0400000000000205,-20.629533715218827
25.11.2008,27.6613,726.36,12.0,1.0,604.9,595.15,100.83,101.8024611429349,workday,0,1,-9.75,2.0400000000000205,-20.629533715218827
26.11.2008,27.3913,706.72,12.0,1.0,595.15,588.02,100.83,101.8024611429349,workday,0,0,-7.1299999999999955,2.0400000000000205,-20.629533715218827
27.11.2008,27.3563,718.57,12.0,1.0,588.33,616.69,100.83,101.8024611429349,workday,0,0,28.360000000000014,2.0400000000000205,-20.629533715218827
28.11.2008,27.4216,717.2,12.0,1.0,616.69,611.32,100.83,101.8024611429349,workday,0,0,-5.3700000000000045,2.0400000000000205,-20.629533715218827
01.12.2008,27.4216,717.2,13.0,1.0,611.33,567.25,100.69,100.8301876082082,workday,1,0,-44.08000000000004,4.720000000000027,-8.962251298498472
02.12.2008,27.9409,714.61,13.0,1.0,567.24,579.91,100.69,100.8301876082082,workday,0,1,12.669999999999959,4.720000000000027,-8.962251298498472
03.12.2008,28.0166,695.83,13.0,1.0,579.91,567.0,100.69,100.8301876082082,workday,0,0,-12.909999999999968,4.720000000000027,-8.962251298498472
04.12.2008,27.9212,694.36,13.0,1.0,567.0,567.94,100.69,100.8301876082082,workday,0,0,0.9400000000000546,4.720000000000027,-8.962251298498472
05.12.2008,27.9576,694.59,13.0,1.0,567.52,562.34,100.69,100.8301876082082,workday,0,0,-5.17999999999995,4.720000000000027,-8.962251298498472
08.12.2008,27.9576,694.59,13.0,1.0,562.34,618.28,100.69,100.8301876082082,workday,1,0,55.93999999999994,4.720000000000027,-8.962251298498472
09.12.2008,28.0043,695.3,13.0,1.0,618.28,607.8,100.69,100.8301876082082,workday,0,1,-10.480000000000018,4.720000000000027,-8.962251298498472
10.12.2008,28.0029,694.14,13.0,1.0,607.8,618.64,100.69,100.8301876082082,workday,0,0,10.840000000000032,4.720000000000027,-8.962251298498472
11.12.2008,27.8671,703.99,13.0,1.0,618.64,628.88,100.69,100.8301876082082,workday,0,0,10.240000000000009,4.720000000000027,-8.962251298498472
12.12.2008,27.931,737.26,13.0,1.0,628.8,620.53,100.69,100.8301876082082,workday,0,0,-8.269999999999982,4.720000000000027,-8.962251298498472
15.12.2008,27.931,737.26,13.0,1.0,620.91,642.08,100.69,100.8301876082082,workday,1,0,21.170000000000073,4.720000000000027,-8.962251298498472
16.12.2008,27.816,740.04,13.0,0.25,642.08,644.62,100.69,100.8301876082082,workday,0,1,2.5399999999999636,4.720000000000027,-9.712251298498472
17.12.2008,27.6009,739.64,13.0,0.25,644.83,642.38,100.69,100.8301876082082,workday,0,0,-2.4500000000000455,4.720000000000027,-9.712251298498472
