,usdrub,gold,cb_key_rate,fed_rate,imoex_open,imoex_close,ru_cpi,us_cpi,workday
09.10.2008,26.1629,767.98,11.0,1.4,637.93,700.37,100.91,100.86730108988687,workday
10.10.2008,26.0695,743.23,11.0,1.4,0.0,700.37,100.91,100.86730108988687,workday
11.10.2008,26.208,773.51,11.0,1.4,,,100.91,100.86730108988687,day off
12.10.2008,,,11.0,1.4,,,100.91,100.86730108988687,day off
13.10.2008,,,11.0,1.4,700.37,666.37,100.91,100.86730108988687,workday
14.10.2008,26.1111,726.16,11.0,1.4,666.81,755.22,100.91,100.86730108988687,workday
15.10.2008,26.0871,712.49,11.0,1.4,755.22,689.71,100.91,100.86730108988687,workday
16.10.2008,26.1347,712.95,11.0,1.4,689.7,626.85,100.91,100.86730108988687,workday
17.10.2008,26.3691,707.48,11.0,1.4,626.85,599.64,100.91,100.86730108988687,workday
18.10.2008,26.2505,676.02,11.0,1.4,,,100.91,100.86730108988687,day off
19.10.2008,,,11.0,1.4,,,100.91,100.86730108988687,day off
20.10.2008,,,11.0,1.4,599.77,626.42,100.91,100.86730108988687,workday
21.10.2008,26.0561,672.69,11.0,1.4,626.62,652.51,100.91,100.86730108988687,workday
22.10.2008,26.4417,663.94,11.0,1.4,652.5,628.12,100.91,100.86730108988687,workday
23.10.2008,26.9215,655.65,11.0,1.4,628.12,598.87,100.91,100.86730108988687,workday
24.10.2008,26.9793,629.74,11.0,1.4,598.87,513.62,100.91,100.86730108988687,workday
25.10.2008,27.0596,602.47,11.0,1.4,,,100.91,100.86730108988687,day off
26.10.2008,,,11.0,1.4,,,100.91,100.86730108988687,day off
27.10.2008,,,11.0,1.4,0.0,513.62,100.91,100.86730108988687,workday
28.10.2008,27.3507,633.57,11.0,1.4,513.63,534.87,100.91,100.86730108988687,workday
29.10.2008,27.3018,653.94,11.0,0.9,534.87,608.88,100.91,100.86730108988687,workday
30.10.2008,27.0979,652.76,11.0,0.9,608.9,727.39,100.91,100.86730108988687,workday
31.10.2008,26.543,659.02,11.0,0.9,727.38,731.96,100.91,100.86730108988687,workday
01.11.2008,27.0981,634.69,11.0,0.9,731.97,766.92,100.83,101.8024611429349,workday
02.11.2008,27.0793,636.2,11.0,0.9,,,100.83,101.8024611429349,day off
03.11.2008,,,11.0,0.9,,,100.83,101.8024611429349,day off
04.11.2008,,,11.0,0.9,,,100.83,101.8024611429349,day off
05.11.2008,,,11.0,0.9,769.34,775.19,100.83,101.8024611429349,workday
06.11.2008,26.9146,651.81,11.0,1.0,775.18,700.59,100.83,101.8024611429349,workday
07.11.2008,26.9114,639.4,11.0,1.0,700.24,725.93,100.83,101.8024611429349,workday
08.11.2008,27.0041,644.21,11.0,1.0,,,100.83,101.8024611429349,day off
09.11.2008,,,11.0,1.0,,,100.83,101.8024611429349,day off
10.11.2008,,,11.0,1.0,725.93,741.51,100.83,101.8024611429349,workday
11.11.2008,26.9639,651.7,11.0,1.0,740.93,647.8,100.83,101.8024611429349,workday
12.11.2008,27.3399,652.0,12.0,1.0,0.0,647.8,100.83,101.8024611429349,workday
13.11.2008,27.4704,646.06,12.0,1.0,647.29,598.43,100.83,101.8024611429349,workday
14.11.2008,27.6704,635.19,12.0,1.0,598.44,592.07,100.83,101.8024611429349,workday
15.11.2008,27.3386,641.2,12.0,1.0,,,100.83,101.8024611429349,day off
16.11.2008,,,12.0,1.0,,,100.83,101.8024611429349,day off
17.11.2008,,,12.0,1.0,592.07,560.86,100.83,101.8024611429349,workday
18.11.2008,27.4374,657.19,12.0,1.0,560.79,579.17,100.83,101.8024611429349,workday
19.11.2008,27.4301,649.52,12.0,1.0,579.18,558.12,100.83,101.8024611429349,workday
20.11.2008,27.4413,650.89,12.0,1.0,558.12,533.7,100.83,101.8024611429349,workday
21.11.2008,27.5715,660.62,12.0,1.0,533.7,516.93,100.83,101.8024611429349,workday
22.11.2008,27.5665,672.25,12.0,1.0,,,100.83,101.8024611429349,day off
23.11.2008,,,12.0,1.0,,,100.83,101.8024611429349,day off
24.11.2008,,,12.0,1.0,516.94,604.87,100.83,101.8024611429349,workday
25.11.2008,27.6613,726.36,12.0,1.0,604.9,595.15,100.83,101.8024611429349,workday
26.11.2008,27.3913,706.72,12.0,1.0,595.15,588.02,100.83,101.8024611429349,workday
27.11.2008,27.3563,718.57,12.0,1.0,588.33,616.69,100.83,101.8024611429349,workday
28.11.2008,27.4216,717.2,12.0,1.0,616.69,611.32,100.83,101.8024611429349,workday
29.11.2008,27.606,722.02,12.0,1.0,,,100.83,101.8024611429349,day off
30.11.2008,,,12.0,1.0,,,100.83,101.8024611429349,day off
01.12.2008,,,13.0,1.0,611.33,567.25,100.69,100.8301876082082,workday
02.12.2008,27.9409,714.61,13.0,1.0,567.24,579.91,100.69,100.8301876082082,workday
03.12.2008,28.0166,695.83,13.0,1.0,579.91,567.0,100.69,100.8301876082082,workday
04.12.2008,27.9212,694.36,13.0,1.0,567.0,567.94,100.69,100.8301876082082,workday
05.12.2008,27.9576,694.59,13.0,1.0,567.52,562.34,100.69,100.8301876082082,workday
06.12.2008,28.0916,697.02,13.0,1.0,,,100.69,100.8301876082082,day off
07.12.2008,,,13.0,1.0,,,100.69,100.8301876082082,day off
08.12.2008,,,13.0,1.0,562.34,618.28,100.69,100.8301876082082,workday
09.12.2008,28.0043,695.3,13.0,1.0,618.28,607.8,100.69,100.8301876082082,workday
10.12.2008,28.0029,694.14,13.0,1.0,607.8,618.64,100.69,100.8301876082082,workday
11.12.2008,27.8671,703.99,13.0,1.0,618.64,628.88,100.69,100.8301876082082,workday
